0, 8.000000 
500, 2508.000000 
1000, 5008.000000 
1500, 7508.000000 
2000, 10008.000000 
2500, 12508.000000 
3000, 15008.000000 
3500, 17508.000000 
4000, 20008.000000 
4500, 22508.000000 
5000, 25008.000000 
5500, 27508.000000 
6000, 30008.000000 
6500, 32508.000000 
7000, 35008.000000 
7500, 37508.000000 
8000, 40008.000000 
8500, 42508.000000 
9000, 45008.000000 
9500, 47508.000000 
10000, 50008.000000 
10500, 52508.000000 
11000, 55008.000000 
11500, 57508.000000 
12000, 60008.000000 
12500, 62508.000000 
13000, 65008.000000 
13500, 67508.000000 
14000, 70008.000000 
14500, 72508.000000 
15000, 75008.000000 
15500, 77508.000000 
16000, 80008.000000 
16500, 82508.000000 
17000, 85008.000000 
17500, 87508.000000 
18000, 90008.000000 
18500, 92508.000000 
19000, 95008.000000 
19500, 97508.000000 
20000, 100008.000000 
20500, 102508.000000 
21000, 105008.000000 
21500, 107508.000000 
22000, 110008.000000 
22500, 112508.000000 
23000, 115008.000000 
23500, 117508.000000 
24000, 120008.000000 
24500, 122508.000000 
25000, 125008.000000 
25500, 127508.000000 
26000, 130008.000000 
26500, 132508.000000 
27000, 135008.000000 
27500, 137508.000000 
28000, 140008.000000 
28500, 142508.000000 
29000, 145008.000000 
29500, 147508.000000 
30000, 150008.000000 
30500, 152508.000000 
31000, 155008.000000 
31500, 157508.000000 
32000, 160008.000000 
32500, 162508.000000 
33000, 165008.000000 
33500, 167508.000000 
34000, 170008.000000 
34500, 172508.000000 
35000, 175008.000000 
35500, 177508.000000 
36000, 180008.000000 
36500, 182508.000000 
37000, 185008.000000 
37500, 187508.000000 
38000, 190008.000000 
38500, 192508.000000 
39000, 195008.000000 
39500, 197508.000000 
40000, 200008.000000 
40500, 202508.000000 
41000, 205008.000000 
41500, 207508.000000 
42000, 210008.000000 
42500, 212508.000000 
43000, 215008.000000 
43500, 217508.000000 
44000, 220008.000000 
44500, 222508.000000 
45000, 225008.000000 
45500, 227508.000000 
46000, 230008.000000 
46500, 232508.000000 
47000, 235008.000000 
47500, 237508.000000 
48000, 240008.000000 
48500, 242508.000000 
49000, 245008.000000 
49500, 247508.000000 
50000, 250008.000000 
50500, 252508.000000 
51000, 255008.000000 
51500, 257508.000000 
52000, 260008.000000 
52500, 262508.000000 
53000, 265008.000000 
53500, 267508.000000 
54000, 270008.000000 
54500, 272508.000000 
55000, 275008.000000 
55500, 277508.000000 
56000, 280008.000000 
56500, 282508.000000 
57000, 285008.000000 
57500, 287508.000000 
58000, 290008.000000 
58500, 292508.000000 
59000, 295008.000000 
59500, 297508.000000 
60000, 300008.000000 
60500, 302508.000000 
61000, 305008.000000 
61500, 307508.000000 
62000, 310008.000000 
62500, 312508.000000 
63000, 315008.000000 
63500, 317508.000000 
64000, 320008.000000 
64500, 322508.000000 
65000, 325008.000000 
65500, 327508.000000 
66000, 330008.000000 
66500, 332508.000000 
67000, 335008.000000 
67500, 337508.000000 
68000, 340008.000000 
68500, 342508.000000 
69000, 345008.000000 
69500, 347508.000000 
70000, 350008.000000 
70500, 352508.000000 
71000, 355008.000000 
71500, 357508.000000 
72000, 360008.000000 
72500, 362508.000000 
73000, 365008.000000 
73500, 367508.000000 
74000, 370008.000000 
74500, 372508.000000 
75000, 375008.000000 
75500, 377508.000000 
76000, 380008.000000 
76500, 382508.000000 
77000, 385008.000000 
77500, 387508.000000 
78000, 390008.000000 
78500, 392508.000000 
79000, 395008.000000 
79500, 397508.000000 
80000, 400008.000000 
80500, 402508.000000 
81000, 405008.000000 
81500, 407508.000000 
82000, 410008.000000 
82500, 412508.000000 
83000, 415008.000000 
83500, 417508.000000 
84000, 420008.000000 
84500, 422508.000000 
85000, 425008.000000 
85500, 427508.000000 
86000, 430008.000000 
86500, 432508.000000 
87000, 435008.000000 
87500, 437508.000000 
88000, 440008.000000 
88500, 442508.000000 
89000, 445008.000000 
89500, 447508.000000 
90000, 450008.000000 
90500, 452508.000000 
91000, 455008.000000 
91500, 457508.000000 
92000, 460008.000000 
92500, 462508.000000 
93000, 465008.000000 
93500, 467508.000000 
94000, 470008.000000 
94500, 472508.000000 
95000, 475008.000000 
95500, 477508.000000 
96000, 480008.000000 
96500, 482508.000000 
97000, 485008.000000 
97500, 487508.000000 
98000, 490008.000000 
98500, 492508.000000 
99000, 495008.000000 
99500, 497508.000000 
100000, 500008.000000 
100500, 502508.000000 
101000, 505008.000000 
101500, 507508.000000 
102000, 510008.000000 
102500, 512508.000000 
103000, 515008.000000 
103500, 517508.000000 
104000, 520008.000000 
104500, 522508.000000 
105000, 525008.000000 
105500, 527508.000000 
106000, 530008.000000 
106500, 532508.000000 
107000, 535008.000000 
107500, 537508.000000 
108000, 540008.000000 
108500, 542508.000000 
109000, 545008.000000 
109500, 547508.000000 
110000, 550008.000000 
110500, 552508.000000 
111000, 555008.000000 
111500, 557508.000000 
112000, 560008.000000 
112500, 562508.000000 
113000, 565008.000000 
113500, 567508.000000 
114000, 570008.000000 
114500, 572508.000000 
115000, 575008.000000 
115500, 577508.000000 
116000, 580008.000000 
116500, 582508.000000 
117000, 585008.000000 
117500, 587508.000000 
118000, 590008.000000 
118500, 592508.000000 
119000, 595008.000000 
119500, 597508.000000 
120000, 600008.000000 
120500, 602508.000000 
121000, 605008.000000 
121500, 607508.000000 
122000, 610008.000000 
122500, 612508.000000 
123000, 615008.000000 
123500, 617508.000000 
124000, 620008.000000 
124500, 622508.000000 
125000, 625008.000000 
125500, 627508.000000 
126000, 630008.000000 
126500, 632508.000000 
